prefix	length	first	prediction	default	objective	lower_bound	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured	curiosity
	0	-1		1	0.361502347418	0.0	0.638497652582	1.0	0	0	639	0.0
47,	1	47	1,	1	0.362502347418	0.001	0.638497652582	1.0	56	56	583	0.0114107142857
180,	1	180	0,	1	0.306164319249	0.001	0.694835680751	1.0	36	36	603	0.01775
211,	1	211	1,	1	0.362502347418	0.001	0.638497652582	1.0	61	61	578	0.0104754098361
219,	1	219	1,	1	0.362502347418	0.001	0.638497652582	1.0	47	47	592	0.0135957446809
359,	1	359	1,	1	0.362502347418	0.001	0.638497652582	1.0	59	59	580	0.0108305084746
47, 29	2	47	1, 0	1	0.31185915493	0.002	0.69014084507	1.0	89	89	550	0.0143595505618
180, 64	2	180	0, 1	1	0.307164319249	0.002	0.694835680751	1.0	82	82	557	0.0155853658537
211, 359	2	211	1, 1	1	0.363502347418	0.002	0.638497652582	1.0	119	119	520	0.0107394957983
211, 47	2	211	1, 1	1	0.363502347418	0.002	0.638497652582	1.0	116	116	523	0.0110172413793
219, 180	2	219	1, 0	1	0.307164319249	0.002	0.694835680751	1.0	83	83	556	0.0153975903614
359, 180	2	359	1, 0	1	0.307164319249	0.002	0.694835680751	1.0	95	95	544	0.0134526315789
47, 29, 22	3	47	1, 0, 0	1	0.273735524257	0.003	0.729264475743	1.0	114	114	525	0.0168157894737
180, 64, 22	3	180	0, 1, 0	1	0.269040688576	0.003	0.733959311424	1.0	107	107	532	0.0179158878505
211, 359, 147	3	211	1, 1, 1	1	0.364502347418	0.003	0.638497652582	1.0	172	172	467	0.0111453488372
211, 359, 219	3	211	1, 1, 1	1	0.364502347418	0.003	0.638497652582	1.0	166	166	473	0.0115481927711
211, 359, 47	3	211	1, 1, 1	1	0.364502347418	0.003	0.638497652582	1.0	174	174	465	0.0110172413793
211, 47, 147	3	211	1, 1, 1	1	0.364502347418	0.003	0.638497652582	1.0	169	169	470	0.0113431952663
219, 180, 22	3	219	1, 0, 0	1	0.269040688576	0.003	0.733959311424	1.0	108	108	531	0.01775
359, 180, 22	3	359	1, 0, 0	1	0.269040688576	0.003	0.733959311424	1.0	120	120	519	0.015975
47, 29, 22, 11	4	47	1, 0, 0, 1	1	0.274735524257	0.00556494522692	0.729264475743	0.998435054773	156	155	483	0.0227948717949
180, 64, 22, 249	4	180	0, 1, 0, 1	1	0.270040688576	0.00556494522692	0.733959311424	0.998435054773	162	161	477	0.021950617284
211, 359, 147, 73	4	211	1, 1, 1, 1	0	0.295079812207	0.004	0.708920187793	1.0	222	222	417	0.0115135135135
211, 359, 219, 147	4	211	1, 1, 1, 1	0	0.299774647887	0.004	0.704225352113	1.0	219	219	420	0.0116712328767
211, 359, 47, 147	4	211	1, 1, 1, 1	0	0.288820031299	0.004	0.715179968701	1.0	226	226	413	0.0113097345133
211, 359, 47, 219	4	211	1, 1, 1, 1	0	0.29820970266	0.004	0.70579029734	1.0	220	220	419	0.0116181818182
211, 359, 47, 64	4	211	1, 1, 1, 1	0	0.299774647887	0.004	0.704225352113	1.0	219	219	420	0.0116712328767
211, 359, 47, 73	4	211	1, 1, 1, 1	0	0.291949921753	0.004	0.712050078247	1.0	224	224	415	0.0114107142857
211, 47, 147, 64	4	211	1, 1, 1, 1	0	0.307599374022	0.004	0.696400625978	1.0	214	214	425	0.0119439252336
219, 180, 22, 249	4	219	1, 0, 0, 1	1	0.270040688576	0.00556494522692	0.733959311424	0.998435054773	163	162	476	0.0218159509202
359, 180, 22, 249	4	359	1, 0, 0, 1	1	0.270040688576	0.00556494522692	0.733959311424	0.998435054773	161	160	478	0.0220869565217
211, 359, 147, 73, 219	5	211	1, 1, 1, 1, 1	0	0.224092331768	0.005	0.780907668232	1.0	268	268	371	0.011921641791
211, 359, 147, 73, 64	5	211	1, 1, 1, 1, 1	0	0.224092331768	0.005	0.780907668232	1.0	268	268	371	0.011921641791
211, 359, 219, 147, 264	5	211	1, 1, 1, 1, 1	0	0.230352112676	0.005	0.774647887324	1.0	264	264	375	0.0121022727273
211, 359, 47, 147, 161	5	211	1, 1, 1, 1, 0	0	0.289820031299	0.005	0.715179968701	1.0	269	269	370	0.0118773234201
211, 359, 47, 147, 264	5	211	1, 1, 1, 1, 1	0	0.217832550861	0.005	0.787167449139	1.0	272	272	367	0.0117463235294
211, 359, 47, 147, 64	5	211	1, 1, 1, 1, 1	0	0.219397496088	0.005	0.785602503912	1.0	271	271	368	0.0117896678967
211, 359, 47, 147, 73	5	211	1, 1, 1, 1, 1	0	0.21313771518	0.005	0.79186228482	1.0	275	275	364	0.0116181818182
211, 359, 47, 219, 147	5	211	1, 1, 1, 1, 1	0	0.217832550861	0.005	0.787167449139	1.0	272	272	367	0.0117463235294
211, 359, 47, 219, 296	5	211	1, 1, 1, 1, 0	1	0.289820031299	0.005	0.715179968701	1.0	269	269	370	0.0118773234201
211, 359, 47, 219, 64	5	211	1, 1, 1, 1, 1	0	0.228787167449	0.005	0.776212832551	1.0	265	265	374	0.0120566037736
211, 359, 47, 64, 305	5	211	1, 1, 1, 1, 0	1	0.288255086072	0.005	0.716744913928	1.0	269	269	370	0.0118773234201
211, 359, 47, 73, 219	5	211	1, 1, 1, 1, 1	0	0.222527386541	0.005	0.782472613459	1.0	269	269	370	0.0118773234201
211, 359, 47, 73, 264	5	211	1, 1, 1, 1, 1	0	0.220962441315	0.005	0.784037558685	1.0	270	270	369	0.0118333333333
211, 359, 47, 73, 64	5	211	1, 1, 1, 1, 1	0	0.222527386541	0.005	0.782472613459	1.0	269	269	370	0.0118773234201
211, 47, 147, 64, 305	5	211	1, 1, 1, 1, 0	1	0.288255086072	0.005	0.716744913928	1.0	264	264	375	0.0121022727273
211, 359, 147, 73, 219, 30	6	211	1, 1, 1, 1, 1, 0	0	0.225092331768	0.006	0.780907668232	1.0	314	314	325	0.0122101910828
211, 359, 147, 73, 219, 64	6	211	1, 1, 1, 1, 1, 1	0	0.15310485133	0.006	0.85289514867	1.0	314	314	325	0.0122101910828
211, 359, 147, 73, 64, 183	6	211	1, 1, 1, 1, 1, 0	0	0.225092331768	0.006	0.780907668232	1.0	315	315	324	0.0121714285714
211, 359, 219, 147, 264, 35	6	211	1, 1, 1, 1, 1, 0	0	0.231352112676	0.006	0.774647887324	1.0	315	315	324	0.0121714285714
211, 359, 219, 147, 264, 39	6	211	1, 1, 1, 1, 1, 0	0	0.231352112676	0.006	0.774647887324	1.0	316	316	323	0.0121329113924
211, 359, 219, 147, 264, 42	6	211	1, 1, 1, 1, 1, 0	1	0.217267605634	0.006	0.788732394366	1.0	360	360	279	0.01065
211, 359, 47, 147, 161, 64	6	211	1, 1, 1, 1, 0, 1	0	0.220397496088	0.006	0.785602503912	1.0	314	314	325	0.0122101910828
211, 359, 47, 147, 264, 161	6	211	1, 1, 1, 1, 1, 0	0	0.218832550861	0.006	0.787167449139	1.0	315	315	324	0.0121714285714
211, 359, 47, 147, 264, 219	6	211	1, 1, 1, 1, 1, 1	0	0.148410015649	0.006	0.857589984351	1.0	317	317	322	0.012094637224
211, 359, 47, 147, 264, 64	6	211	1, 1, 1, 1, 1, 1	0	0.149974960876	0.006	0.856025039124	1.0	316	316	323	0.0121329113924
211, 359, 47, 147, 64, 183	6	211	1, 1, 1, 1, 1, 0	0	0.220397496088	0.006	0.785602503912	1.0	318	318	321	0.0120566037736
211, 359, 47, 147, 64, 305	6	211	1, 1, 1, 1, 1, 0	0	0.220397496088	0.006	0.785602503912	1.0	321	321	318	0.0119439252336
211, 359, 47, 147, 73, 161	6	211	1, 1, 1, 1, 1, 0	0	0.21413771518	0.006	0.79186228482	1.0	318	318	321	0.0120566037736
211, 359, 47, 147, 73, 219	6	211	1, 1, 1, 1, 1, 1	0	0.143715179969	0.006	0.862284820031	1.0	320	320	319	0.01198125
211, 359, 47, 147, 73, 264	6	211	1, 1, 1, 1, 1, 1	0	0.143715179969	0.006	0.862284820031	1.0	320	320	319	0.01198125
211, 359, 47, 147, 73, 64	6	211	1, 1, 1, 1, 1, 1	0	0.143715179969	0.006	0.862284820031	1.0	320	320	319	0.01198125
211, 359, 47, 219, 147, 161	6	211	1, 1, 1, 1, 1, 0	0	0.218832550861	0.006	0.787167449139	1.0	315	315	324	0.0121714285714
211, 359, 47, 219, 147, 30	6	211	1, 1, 1, 1, 1, 0	0	0.218832550861	0.006	0.787167449139	1.0	318	318	321	0.0120566037736
211, 359, 47, 219, 147, 64	6	211	1, 1, 1, 1, 1, 1	0	0.148410015649	0.006	0.857589984351	1.0	317	317	322	0.012094637224
211, 359, 47, 219, 296, 147	6	211	1, 1, 1, 1, 0, 1	0	0.218832550861	0.006	0.787167449139	1.0	321	321	318	0.0119439252336
211, 359, 47, 219, 296, 264	6	211	1, 1, 1, 1, 0, 1	0	0.228222222222	0.006	0.777777777778	1.0	315	315	324	0.0121714285714
211, 359, 47, 219, 296, 64	6	211	1, 1, 1, 1, 0, 1	0	0.229787167449	0.006	0.776212832551	1.0	314	314	325	0.0122101910828
211, 359, 47, 219, 64, 146	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	330	330	309	0.0116181818182
211, 359, 47, 219, 64, 209	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	320	320	319	0.01198125
211, 359, 47, 219, 64, 263	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	329	329	310	0.0116534954407
211, 359, 47, 219, 64, 292	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	329	329	310	0.0116534954407
211, 359, 47, 219, 64, 298	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	316	316	323	0.0121329113924
211, 359, 47, 219, 64, 303	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	331	331	308	0.011583081571
211, 359, 47, 219, 64, 306	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	323	323	316	0.0118699690402
211, 359, 47, 219, 64, 70	6	211	1, 1, 1, 1, 1, 0	0	0.229787167449	0.006	0.776212832551	1.0	326	326	313	0.0117607361963
211, 359, 47, 64, 305, 219	6	211	1, 1, 1, 1, 0, 1	0	0.229787167449	0.006	0.776212832551	1.0	315	315	324	0.0121714285714
